model,threshold,precision,recall,f1,specificity,fpr,accuracy,tn,fp,fn,tp
Semantics_Corrected_Fusion,0.48,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.49,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.5,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.51,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.52,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.53,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.54,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.55,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.56,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.57,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.58,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.59,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.6,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.61,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.62,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.63,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.64,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
Semantics_Corrected_Fusion,0.65,0.9091,1.0,0.9524,0.0,1.0,0.9091,0,150,0,1500
